X;Y;Z;Formation
649818.28;9655588.67;43.53;rock1
648861.79;9659244.57;47.09;rock1
648857.79;9658944.81;45.33;rock1
648858.64;9658640.22;45.13;rock1
649645.39;9658621.87;43.36;rock1
649678.35;9658321.47;43.60;rock1
648843.82;9657723.54;44.36;rock1
648835.56;9657417.55;43.33;rock1
648828.00;9657117.86;42.86;rock1
648766.42;9656820.47;42.42;rock1
649710.36;9658020.01;44.25;rock1
649755.20;9657704.92;44.30;rock1
649792.10;9657392.55;43.58;rock1
649826.15;9657093.51;43.20;rock1
649838.18;9656801.68;43.17;rock1
649832.97;9656501.53;42.74;rock1
649833.58;9656192.42;42.73;rock1
649823.90;9655884.19;42.81;rock1
649818.28;9655588.67;43.52;rock3
648861.79;9659244.57;46.95;rock3
648857.79;9658944.81;45.26;rock3
648858.64;9658640.22;44.90;rock3
649645.39;9658621.87;43.14;rock3
649678.35;9658321.47;43.33;rock3
648843.82;9657723.54;44.25;rock3
648835.56;9657417.55;43.22;rock3
648828.00;9657117.86;42.68;rock3
648766.42;9656820.47;42.22;rock3
649710.36;9658020.01;43.88;rock3
649755.20;9657704.92;44.19;rock3
649792.10;9657392.55;43.62;rock3
649826.15;9657093.51;43.35;rock3
649838.18;9656801.68;43.23;rock3
649832.97;9656501.53;42.88;rock3
649833.58;9656192.42;42.95;rock3
649823.90;9655884.19;43.03;rock3
649818.28;9655588.67;43.33;rock2
648861.79;9659244.57;44.81;rock2
648857.79;9658944.81;44.78;rock2
648858.64;9658640.22;44.76;rock2
649645.39;9658621.87;43.79;rock2
649678.35;9658321.47;43.73;rock2
648843.82;9657723.54;44.82;rock2
648835.56;9657417.55;44.86;rock2
648828.00;9657117.86;44.91;rock2
648766.42;9656820.47;44.10;rock2
649710.36;9658020.01;43.68;rock2
649755.20;9657704.92;43.62;rock2
649792.10;9657392.55;43.57;rock2
649826.15;9657093.51;43.51;rock2
649838.18;9656801.68;43.47;rock2
649832.97;9656501.53;43.43;rock2
649833.58;9656192.42;43.39;rock2
649823.90;9655884.19;43.36;rock2
